City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,Kirensk,RU,57.7853,108.1119,52.7,98,11,4.76,few clouds
175,Lompoc,US,34.6391,-120.4579,91.69,67,0,11.5,clear sky
176,Vaike-Maarja,EE,59.1264,26.25,59.23,76,91,7.43,overcast clouds
177,Magadan,RU,59.5667,150.8,55.65,90,69,0.98,broken clouds
178,Kemijarvi,FI,66.7131,27.4306,60.82,77,45,3.42,scattered clouds
179,Voh,NC,-20.9667,164.7,71.92,92,100,4.52,overcast clouds
180,Avarua,CK,-21.2078,-159.775,71.65,78,75,12.66,light rain
181,Tigzirt,DZ,36.8886,4.1198,79.21,73,0,10.09,clear sky
182,Oranjemund,NA,-28.55,16.4333,53.91,80,18,20.8,few clouds
183,Qaanaaq,GL,77.484,-69.3632,41.18,80,100,4.9,overcast clouds
184,Bambous Virieux,MU,-20.3428,57.7575,71.22,72,100,21.32,light rain
185,Quatre Cocos,MU,-20.2078,57.7625,71.1,71,100,21.09,light rain
186,Codrington,AU,-38.2667,141.9667,38.57,84,0,8.5,clear sky
187,Chumikan,RU,54.7183,135.315,51.44,100,100,4.76,light rain
188,Norman Wells,CA,65.282,-126.8329,74.88,40,100,0.22,overcast clouds
189,Khorol,UA,49.7837,33.2783,57.72,90,5,8.68,clear sky
190,Ust-Nera,RU,64.5667,143.2,55.49,79,98,9.01,overcast clouds
191,Ceske Budejovice,CZ,48.9745,14.4743,76.15,53,46,4.25,scattered clouds
192,Chuy,UY,-33.6971,-53.4616,60.62,83,0,8.9,clear sky
193,Najran,SA,17.4924,44.1277,83.48,35,100,9.84,light rain
194,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,31,0,29.93,clear sky
195,Salinopolis,BR,-0.6136,-47.3561,81.0,81,39,8.39,scattered clouds
196,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,84.87,72,55,2.24,broken clouds
197,Waipawa,NZ,-41.4122,175.5153,44.04,91,100,16.31,moderate rain
198,Port Elizabeth,ZA,-33.918,25.5701,57.09,95,100,1.01,overcast clouds
199,Ostrovnoy,RU,68.0531,39.5131,48.54,96,22,5.41,few clouds
200,Coquimbo,CL,-29.9533,-71.3436,53.33,93,100,3.44,overcast clouds
201,Xining,CN,36.6167,101.7667,54.28,72,92,2.71,overcast clouds
202,Coihaique,CL,-45.5752,-72.0662,36.21,80,100,5.75,light snow
203,Kargasok,RU,59.0556,80.8572,59.32,77,53,5.21,broken clouds
204,Lata,PT,40.1629,-8.3327,75.63,51,0,6.02,clear sky
205,Phanom Thuan,TH,14.1303,99.6986,76.17,89,100,4.54,moderate rain
206,Chokurdakh,RU,70.6333,147.9167,41.13,77,76,8.55,broken clouds
207,Lulea,SE,65.5842,22.1547,64.47,72,0,4.61,clear sky
208,Mareeba,AU,-17.0,145.4333,63.45,90,10,1.95,clear sky
209,Ormara,PK,25.2088,64.6357,82.67,85,100,15.23,overcast clouds
210,Tombouctou,ML,20.0,-3.0,93.52,39,61,13.91,light rain
211,Shimoda,JP,34.6667,138.95,76.1,83,100,3.2,overcast clouds
212,Gagra,GE,43.3283,40.2239,70.72,82,87,4.18,overcast clouds
213,Marystown,CA,47.1666,-55.1483,67.86,100,98,8.01,overcast clouds
214,Saskylakh,RU,71.9167,114.0833,37.27,90,68,12.39,broken clouds
215,Nautla,MX,20.2167,-96.7833,92.01,55,100,19.51,overcast clouds
216,Zhangye,CN,38.9342,100.4517,62.33,65,64,24.7,light rain
217,Channel-Port Aux Basques,CA,47.5702,-59.1367,60.6,89,100,34.18,moderate rain
218,Nelson Bay,AU,-32.7167,152.15,61.0,75,43,14.0,light rain
219,Sao Filipe,CV,14.8961,-24.4956,76.53,88,88,3.36,overcast clouds
220,Yulara,AU,-25.2406,130.9889,46.69,48,5,11.05,clear sky
221,Tabas,IR,33.5959,56.9244,92.7,12,0,8.84,clear sky
222,Puerto Lleras,CO,3.0223,-73.4044,73.67,90,94,5.19,overcast clouds
223,Havre-Saint-Pierre,CA,50.2334,-63.5986,70.75,62,100,15.75,overcast clouds
224,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,83,75,6.91,broken clouds
225,Russell,US,32.3502,-85.1999,94.28,46,41,2.64,scattered clouds
226,Olinda,BR,-8.0089,-34.8553,76.73,78,75,14.97,broken clouds
227,Jardim,BR,-21.4803,-56.1381,91.87,17,2,7.94,clear sky
228,Winchester,GB,51.0651,-1.3187,71.51,78,40,5.75,scattered clouds
229,Nemuro,JP,43.3236,145.575,56.95,92,66,8.66,moderate rain
230,Khovu-Aksy,RU,51.1333,93.6,47.16,71,1,3.2,clear sky
231,Pozega,HR,45.3403,17.6853,74.95,32,0,2.13,clear sky
232,Deputatskiy,RU,69.3,139.9,33.93,97,91,3.38,overcast clouds
233,Ilulissat,GL,69.2167,-51.1,60.82,39,75,14.97,broken clouds
234,Bongandanga,CD,1.5,21.05,76.15,82,100,2.3,overcast clouds
235,Isangel,VU,-19.55,169.2667,75.7,90,97,9.1,overcast clouds
236,Saint-Joseph,RE,-21.3667,55.6167,66.58,71,25,15.19,scattered clouds
237,Terney,RU,45.0503,136.6092,61.54,93,65,3.53,broken clouds
238,Harbour Breton,CA,47.4833,-55.7983,60.49,92,100,25.68,overcast clouds
239,Tuatapere,NZ,-46.1333,167.6833,42.31,84,100,2.39,overcast clouds
240,Biscarrosse,FR,44.3945,-1.1672,73.35,64,0,6.91,clear sky
241,Altamira,BR,-3.2033,-52.2064,86.77,61,89,1.72,overcast clouds
242,Manzhouli,CN,49.6,117.4333,66.09,62,98,3.42,overcast clouds
243,Boma,GH,7.0805,-2.1697,74.73,73,86,2.1,overcast clouds
244,Shelburne,CA,44.0787,-80.2041,85.23,48,100,19.75,overcast clouds
245,Vao,NC,-22.6667,167.4833,73.85,87,93,8.28,overcast clouds
246,Dingle,PH,10.9995,122.6711,76.93,88,95,1.97,overcast clouds
247,Tahlequah,US,35.9154,-94.97,102.42,25,0,8.05,clear sky
248,Micheweni,TZ,-4.9667,39.8333,73.45,81,3,11.83,clear sky
249,Camacha,PT,33.0833,-16.3333,69.22,73,40,14.97,scattered clouds
250,Lebrija,ES,36.9208,-6.0753,97.29,40,0,6.91,clear sky
251,Kavieng,PG,-2.5744,150.7967,81.03,79,77,11.32,light rain
252,Meadow Lake,US,34.8014,-106.5436,96.42,23,84,10.89,broken clouds
253,Alofi,NU,-19.0595,-169.9187,76.05,71,1,24.34,clear sky
254,Soyung,PH,16.7001,121.6655,75.0,93,25,1.92,scattered clouds
255,Bozuyuk,TR,39.9078,30.0367,62.94,66,0,6.33,clear sky
256,Burns Lake,CA,54.2331,-125.7533,67.73,42,100,3.8,overcast clouds
257,Mandali,IQ,33.7499,45.5541,101.59,7,0,10.76,clear sky
258,Iskateley,RU,67.6803,53.1512,50.9,85,8,13.85,clear sky
259,Hashtgerd,IR,35.9642,50.6858,81.81,31,0,1.12,clear sky
260,Kampot,KH,10.6167,104.1833,75.25,91,100,7.23,moderate rain
261,Lokosovo,RU,61.1333,74.8167,60.28,67,100,0.56,overcast clouds
262,Bonthe,SL,7.5264,-12.505,74.53,91,100,9.44,moderate rain
263,Ancud,CL,-41.8697,-73.8203,43.23,64,84,15.39,broken clouds
264,Viedma,AR,-40.8135,-62.9967,66.52,33,100,28.14,light rain
265,Toppenish,US,46.3774,-120.3087,93.72,18,0,3.36,clear sky
266,Terrace Bay,CA,48.7834,-87.1,59.02,79,45,8.34,scattered clouds
267,San Patricio,US,28.017,-97.5169,95.09,43,0,20.09,clear sky
268,Hualmay,PE,-11.0964,-77.6139,66.29,71,54,9.84,broken clouds
269,Poronaysk,RU,49.2167,143.1167,56.21,87,100,5.68,overcast clouds
270,Muravlenko,RU,63.7898,74.523,57.76,61,66,6.85,broken clouds
271,Uvira,CD,-3.4067,29.1458,74.84,64,25,3.09,scattered clouds
272,Hambantota,LK,6.1241,81.1185,79.14,94,40,6.91,scattered clouds
273,Hovd,MN,48.0056,91.6419,55.94,57,13,3.38,few clouds
