City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Mar Del Plata,AR,2022-07-18 00:51:49,-38.0023,-57.5575,53.1,55,0,11.5
59,Banda Aceh,ID,2022-07-18 00:51:49,5.5577,95.3222,81.36,77,8,4.29
60,Albany,US,2022-07-18 00:51:50,42.6001,-73.9662,81.18,70,100,4.52
61,Broome,US,2022-07-18 00:47:48,42.2506,-75.833,75.97,78,100,4.32
62,Wamba,NG,2022-07-18 00:51:50,8.9333,8.6,70.47,93,98,1.68
63,Kapaa,US,2022-07-18 00:51:51,22.0752,-159.319,84.52,76,100,16.11
64,Pisco,PE,2022-07-18 00:51:51,-13.7,-76.2167,61.02,82,1,14.97
65,Klaksvik,FO,2022-07-18 00:51:51,62.2266,-6.589,50.92,87,52,20.15
66,Mataura,NZ,2022-07-18 00:51:52,-46.1927,168.8643,55.47,58,89,14.74
67,Pecos,US,2022-07-18 00:51:52,31.4229,-103.4932,97.63,19,0,13.8
68,Nizwa,OM,2022-07-18 00:49:17,22.9333,57.5333,84.54,59,100,3.47
69,Tazmalt,DZ,2022-07-18 00:51:52,36.3868,4.3989,79.7,32,0,1.45
70,Rikitea,PF,2022-07-18 00:51:53,-23.1203,-134.9692,73.8,79,100,11.21
71,Tayu,ID,2022-07-18 00:51:53,-6.5397,111.0518,78.98,80,13,8.34
72,Kodiak,US,2022-07-18 00:51:53,57.79,-152.4072,60.31,63,100,4.61
73,Butaritari,KI,2022-07-18 00:51:54,3.0707,172.7902,82.35,73,11,13.09
74,Cabadiangan,PH,2022-07-18 00:51:54,9.7531,122.4739,77.7,90,100,4.5
75,Svarstad,NO,2022-07-18 00:51:54,59.399,9.9698,59.95,79,78,3.27
76,Faanui,PF,2022-07-18 00:50:14,-16.4833,-151.75,76.91,72,41,16.26
77,Balsas,BR,2022-07-18 00:51:55,-7.5325,-46.0356,82.06,31,87,4.85
78,East London,ZA,2022-07-18 00:51:55,-33.0153,27.9116,66.36,32,0,6.98
79,Dunhua,CN,2022-07-18 00:51:55,43.3725,128.2425,63.18,97,100,5.77
80,Boddam,GB,2022-07-18 00:51:55,57.4667,-1.7833,64.78,90,100,10.11
81,Alyangula,AU,2022-07-18 00:51:56,-13.8483,136.4192,76.71,62,97,10.07
82,Darnah,LY,2022-07-18 00:51:56,32.767,22.6367,77.43,83,0,11.65
83,Yellowknife,CA,2022-07-18 00:51:56,62.456,-114.3525,66.72,77,100,3.44
84,Hamilton,US,2022-07-18 00:47:33,39.1834,-84.5333,74.93,96,100,5.75
85,Luderitz,NA,2022-07-18 00:51:57,-26.6481,15.1594,60.98,59,5,8.57
86,Payson,US,2022-07-18 00:51:57,40.0444,-111.7321,87.4,38,100,7.0
87,Burnie,AU,2022-07-18 00:51:57,-41.0667,145.9167,45.95,55,94,7.9
88,Tuatapere,NZ,2022-07-18 00:50:11,-46.1333,167.6833,52.9,88,100,11.72
89,Mandera,KE,2022-07-18 00:51:58,3.9366,41.867,75.4,60,36,17.22
90,Andoain,ES,2022-07-18 00:52:58,43.2166,-2.0253,77.67,68,2,3.0
91,Karakol,KG,2022-07-18 00:52:58,42.4907,78.3936,65.84,31,2,2.42
92,Edd,ER,2022-07-18 00:52:59,13.9297,41.6925,89.67,56,51,3.58
93,Guaymas,MX,2022-07-18 00:52:59,27.9333,-110.9,89.89,59,11,8.88
94,Tabou,CI,2022-07-18 00:52:21,4.423,-7.3528,74.53,80,33,10.18
95,Puerto Colombia,CO,2022-07-18 00:52:59,10.9878,-74.9547,82.49,85,100,20.89
96,Hithadhoo,MV,2022-07-18 00:53:00,-0.6,73.0833,80.69,72,100,17.18
97,Kitimat,CA,2022-07-18 00:53:00,54.0524,-128.6534,68.38,50,83,3.0
98,Upernavik,GL,2022-07-18 00:53:00,72.7868,-56.1549,39.47,94,43,11.43
99,Khatanga,RU,2022-07-18 00:52:25,71.9667,102.5,60.51,57,100,4.16
100,Raboso,MX,2022-07-18 00:53:01,18.5667,-98.45,74.44,62,100,2.53
101,Sorland,NO,2022-07-18 00:53:01,67.667,12.6934,51.66,85,100,18.45
102,Kyra,RU,2022-07-18 00:53:01,49.5776,111.9753,68.07,51,2,2.48
103,Tautira,PF,2022-07-18 00:53:02,-17.7333,-149.15,74.43,75,59,12.5
104,Nikolskoye,RU,2022-07-18 00:53:02,59.7035,30.7861,53.49,97,93,5.44
105,Constitucion,CL,2022-07-18 00:53:02,-35.3333,-72.4167,48.7,90,100,8.12
106,Fairbanks,US,2022-07-18 00:50:35,64.8378,-147.7164,67.96,63,75,9.22
107,Norman Wells,CA,2022-07-18 00:53:03,65.282,-126.8329,77.04,36,75,6.91
108,Nyurba,RU,2022-07-18 00:53:03,63.2842,118.3319,60.3,85,100,4.03
109,Zyryanovsk,KZ,2022-07-18 00:53:03,49.7386,84.2719,62.83,85,99,2.77
110,Severo-Kurilsk,RU,2022-07-18 00:53:04,50.6789,156.125,56.39,92,98,0.47
111,Bubaque,GW,2022-07-18 00:53:04,11.2833,-15.8333,80.37,85,100,13.29
112,Nome,US,2022-07-18 00:53:04,64.5011,-165.4064,55.47,71,100,13.8
113,Kieta,PG,2022-07-18 00:53:04,-6.2167,155.6333,85.75,62,9,7.25
114,Ponta Do Sol,PT,2022-07-18 00:53:05,32.6667,-17.1,71.01,81,21,3.33
115,Namibe,AO,2022-07-18 00:53:05,-15.1961,12.1522,66.38,69,5,2.28
116,Narsaq,GL,2022-07-18 00:53:05,60.9167,-46.05,45.19,80,13,1.41
117,Puerto Ayora,EC,2022-07-18 00:53:06,-0.7393,-90.3518,68.56,90,74,5.01
118,Ribeira Grande,PT,2022-07-18 00:53:06,38.5167,-28.7,71.67,93,5,6.11
119,Vanimo,PG,2022-07-18 00:53:06,-2.6741,141.3028,84.11,65,100,0.43
120,Queenstown,ZA,2022-07-18 00:53:07,-31.8976,26.8753,48.09,44,3,6.64
121,Atambua,ID,2022-07-18 00:53:07,-9.1061,124.8925,76.66,60,27,2.44
122,Lebu,CL,2022-07-18 00:53:07,-37.6167,-73.65,46.36,71,87,7.23
123,Kotido,UG,2022-07-18 00:53:08,2.9806,34.1331,67.3,73,66,8.25
124,Lasa,IT,2022-07-18 00:53:08,46.6166,10.7002,68.88,79,9,2.37
125,Martha Lake,US,2022-07-18 00:53:08,47.8509,-122.2393,68.38,61,39,3.0
126,Wewak,PG,2022-07-18 00:53:08,-3.5534,143.6268,83.77,71,100,1.66
127,Morondava,MG,2022-07-18 00:51:03,-20.2833,44.2833,67.51,56,0,12.55
128,Homer,US,2022-07-18 00:53:09,59.6425,-151.5483,58.05,72,80,13.0
129,Chokurdakh,RU,2022-07-18 00:53:09,70.6333,147.9167,55.81,43,18,13.18
130,Draganesti-Vlasca,RO,2022-07-18 00:53:09,44.1014,25.5981,65.62,37,0,18.43
131,Sao Joao Da Barra,BR,2022-07-18 00:50:11,-21.6403,-41.0511,72.19,85,97,19.55
132,Cherskiy,RU,2022-07-18 00:53:10,68.75,161.3,47.55,45,93,15.66
133,Tomohon,ID,2022-07-18 00:53:10,1.3346,124.8392,65.34,96,100,1.3
134,Statesville,US,2022-07-18 00:53:10,35.7826,-80.8873,80.67,44,75,0.0
135,Port Elizabeth,ZA,2022-07-18 00:53:11,-33.918,25.5701,64.69,81,0,10.36
136,Codrington,AU,2022-07-18 00:54:11,-38.2667,141.9667,48.99,71,100,12.66
137,Hasaki,JP,2022-07-18 00:54:11,35.7333,140.8333,82.29,82,100,3.87
138,Berbera,SO,2022-07-18 00:54:12,10.4396,45.0143,88.39,41,34,24.83
139,Ormara,PK,2022-07-18 00:54:12,25.2088,64.6357,83.1,89,80,15.64
140,Popondetta,PG,2022-07-18 00:54:12,-8.7537,148.2534,86.68,60,100,4.07
141,Worthington,US,2022-07-18 00:50:07,40.0931,-83.018,73.29,95,100,8.05
142,Monywa,MM,2022-07-18 00:54:13,22.1167,95.1333,85.71,62,83,11.88
143,Ati,TD,2022-07-18 00:54:13,13.2154,18.3353,76.28,77,100,9.37
144,Longyan,CN,2022-07-18 00:53:14,25.1072,117.0225,84.63,74,100,5.53
145,Bassar,TG,2022-07-18 00:54:13,9.25,0.7833,69.78,94,100,3.38
146,Mazagao,BR,2022-07-18 00:54:14,-0.115,-51.2894,82.45,89,10,5.79
147,Ancud,CL,2022-07-18 00:54:14,-41.8697,-73.8203,41.23,74,16,6.8
148,Tezu,IN,2022-07-18 00:54:14,27.9167,96.1667,80.82,95,53,0.85
149,Bardiyah,LY,2022-07-18 00:54:14,31.7561,25.0865,77.29,73,0,13.82
150,Carthage,TN,2022-07-18 00:54:15,36.8611,10.3316,78.33,69,0,3.44
151,Mosquera,CO,2022-07-18 00:54:15,4.7059,-74.2302,57.29,67,40,10.36
152,Inirida,CO,2022-07-18 00:54:15,3.8653,-67.9239,75.99,90,74,2.21
153,College,US,2022-07-18 00:49:39,64.8569,-147.8028,67.95,63,75,9.22
154,Bathsheba,BB,2022-07-18 00:54:16,13.2167,-59.5167,81.21,87,40,17.27
155,Kachug,RU,2022-07-18 00:54:16,53.9606,105.8817,62.22,79,74,3.4
156,Labuhan,ID,2022-07-18 00:54:17,-6.8844,112.2051,77.67,82,65,8.25
157,East Liverpool,US,2022-07-18 00:50:14,40.6187,-80.5773,71.55,98,100,5.01
158,Mount Gambier,AU,2022-07-18 00:54:17,-37.8333,140.7667,47.71,75,98,8.5
159,Tateyama,JP,2022-07-18 00:54:17,34.9833,139.8667,81.1,81,100,10.78
160,Yatou,CN,2022-07-18 00:54:18,37.15,122.3833,79.52,69,62,7.23
161,Zaragoza,ES,2022-07-18 00:53:00,41.6561,-0.8773,85.01,48,0,5.75
162,Tual,ID,2022-07-18 00:54:18,-5.6667,132.75,78.87,77,100,18.37
163,Avarua,CK,2022-07-18 00:54:18,-21.2078,-159.775,75.25,73,20,11.5
164,Thompson,CA,2022-07-18 00:54:19,55.7435,-97.8558,78.96,47,100,8.05
165,Santa Isabel Do Rio Negro,BR,2022-07-18 00:54:19,-0.4139,-65.0192,77.61,81,64,2.75
166,Palencia,ES,2022-07-18 00:54:19,42.4167,-4.5,81.79,32,4,6.17
167,Wahiawa,US,2022-07-18 00:54:20,21.5028,-158.0236,80.76,72,75,14.97
168,Kamenka,RU,2022-07-18 00:54:20,51.3223,42.7678,62.56,92,91,2.75
169,Kiama,AU,2022-07-18 00:54:20,-34.6833,150.8667,57.38,46,2,15.32
170,Aksarka,RU,2022-07-18 00:54:21,66.5606,67.7975,60.94,63,83,8.14
171,Chuy,UY,2022-07-18 00:54:21,-33.6971,-53.4616,42.87,86,8,7.63
172,Malu Mare,RO,2022-07-18 00:54:21,44.2333,23.8667,64.29,48,0,5.01
173,Mehamn,NO,2022-07-18 00:54:22,71.0357,27.8492,51.75,87,100,4.61
174,Kerman,IR,2022-07-18 00:54:22,30.2832,57.0788,66.06,18,0,4.61
175,Coos Bay,US,2022-07-18 00:54:22,43.3665,-124.2179,74.32,86,0,25.32
176,Tignere,CM,2022-07-18 00:54:23,7.3667,12.65,61.5,97,92,1.63
177,Hami,CN,2022-07-18 00:54:23,42.8,93.45,84.97,19,100,5.48
178,Sitka,US,2022-07-18 00:54:23,57.0531,-135.33,57.09,88,100,6.91
179,Red Bluff,US,2022-07-18 00:54:24,40.1785,-122.2358,106.52,7,0,11.95
180,Asau,RO,2022-07-18 00:53:27,46.4333,26.4,54.52,71,4,4.0
181,Eureka,US,2022-07-18 00:55:13,40.8021,-124.1637,69.21,70,5,8.01
182,Xinxiang,CN,2022-07-18 00:55:24,35.3089,113.8672,88.56,50,19,3.22
183,Umm Lajj,SA,2022-07-18 00:55:24,25.0213,37.2685,83.25,59,72,6.35
