City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
299,Sola,VU,80.58,broken clouds,-13.8833,167.55,Leumerus Bungalows
300,Chapais,CA,78.33,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
304,Jieshi,CN,82.99,clear sky,22.8134,115.8257,Yuehai Hotel
305,Ambon,ID,78.24,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
311,Katsuura,JP,77.25,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
318,Shache,CN,79.97,clear sky,38.4167,77.2406,Delong Hotel
320,Caravelas,BR,75.56,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
328,Bainbridge,US,84.15,clear sky,47.6262,-122.5212,Bainbridge Island Country Inn
329,Allapalli,IN,76.96,overcast clouds,19.4167,80.0667,"Hotel IK Residency, GUEST HOUSE AC NON AC"
330,Santo Antonio Do Ica,BR,81.54,heavy intensity rain,-3.1022,-67.9397,HOTEL AMAZON WAY
331,Half Moon Bay,US,81.05,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
334,Puerto Carreno,CO,82.09,broken clouds,6.189,-67.4859,Casa Hotel Victoria
344,Gizo,SB,80.96,overcast clouds,-8.103,156.8419,Imagination Island
347,Yenagoa,NG,75.18,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
350,Haiger,DE,79.48,moderate rain,50.75,8.2167,gut-Hotel Tannenhof
353,Luwuk,ID,76.3,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
361,Porto Walter,BR,92.57,few clouds,-8.2686,-72.7439,Hotel Silva
364,Portneuf,CA,84.31,overcast clouds,46.6906,-71.8901,Le Portneuvois Hotel
365,Vancouver,CA,80.98,clear sky,49.2497,-123.1193,City Centre Motor Hotel
367,Baturite,BR,87.03,broken clouds,-4.3286,-38.8847,Hotel Padre Cícero Baturité
370,Tevaitoa,PF,77.59,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
371,Vila Do Maio,CV,78.57,scattered clouds,15.1333,-23.2167,Hotel Marilu
375,Mattoon,US,90.84,clear sky,39.4831,-88.3728,"Holiday Inn Express & Suites Mattoon, an IHG Hotel"
378,Daru,PG,75.85,overcast clouds,-9.0763,143.2092,Daru Lodge
379,Am Timan,TD,76.42,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
380,Sao Jose Da Coroa Grande,BR,76.64,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
383,High Level,CA,75.24,clear sky,58.5169,-117.136,Days Inn by Wyndham High Level
386,Wenatchee,US,93.67,clear sky,47.4235,-120.3103,SpringHill Suites by Marriott Wenatchee
388,Kristinehamn,SE,79.36,overcast clouds,59.3098,14.1081,Hotell Marieberg
392,Oussouye,SN,77.72,moderate rain,12.485,-16.5469,Auberge du Routard
393,Bandarbeyla,SO,77.94,overcast clouds,9.4942,50.8122,JABIR HOTEL
394,Lubao,PH,78.82,overcast clouds,14.9167,120.55,Hacienda Gracia
398,Karlstadt,DE,81.7,overcast clouds,49.9603,9.7722,Hotel Mainpromenade
402,Biltine,TD,78.91,light rain,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
403,Bouna,CI,77.29,overcast clouds,9.2667,-3.0,Hôtel lababa
404,Broome,US,94.69,clear sky,42.2506,-75.833,Chenango Valley State Park
406,Escanaba,US,75.51,scattered clouds,45.7453,-87.0646,Sunset Lodge
408,Kahului,US,78.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
410,Bardiyah,LY,77.49,clear sky,31.7561,25.0865,بورتو بردية
414,Cayenne,GF,86.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
417,Lalmohan,BD,82.6,light rain,22.3384,90.7419,Arifur Rahman Miraj
418,West Saint Paul,US,88.65,clear sky,44.9161,-93.1016,Holiday Inn St. Paul Downtown
421,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
423,Rosarito,MX,85.62,broken clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
426,Sao Joao Da Barra,BR,77.09,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
427,Poso,ID,76.51,clear sky,-1.3959,120.7524,Hotel 77 Poso
429,Urucara,BR,81.25,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
432,Asyut,EG,89.98,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
435,Caborca,MX,88.07,clear sky,30.5838,-111.101,Hotel Los Lagos
437,Marinette,US,78.89,overcast clouds,45.1,-87.6307,AmericInn by Wyndham Menominee
438,Teguise,ES,75.42,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
444,Mogadishu,SO,75.47,overcast clouds,2.0371,45.3438,Hotel Juba
446,Cotonou,BJ,76.41,overcast clouds,6.3654,2.4183,Novotel Cotonou Orisha
447,Nieuw Amsterdam,SR,87.82,few clouds,5.8833,-55.0833,Hotel Stardust
